match_id,season,city,date,team1_id,team2_id,toss_winner,toss_decision,result,dl_applied,winner,win_by_runs,win_by_wickets,player_of_match,player_of_match_id,venue,venue_id,umpire1,umpire2
2015_22,2015,Delhi,23-04-2015,DD,MI,MI,field,normal,0,DD,37,0,Shreyas Iyer,537,"Feroz Shah Kotla Stadium, Delhi",2,SD Fry,CK Nandan
2015_23,2015,Ahmedabad,24-04-2015,RR,RCB,RCB,field,normal,0,RCB,0,9,Mitchell Starc,661,"Sardar Patel Stadium, Motera",20,M Erasmus,S Ravi
2015_24,2015,Mumbai,25-04-2015,MI,SRH,MI,bat,normal,0,MI,20,0,Lasith Malinga,230,"Wankhede Stadium, Mumbai, Maharashtra",1,HDPK Dharmasena,CB Gaffaney
2015_25,2015,Chennai,25-04-2015,CSK,KXI,CSK,bat,normal,0,CSK,97,0,Brendon McCullum,82,"M.A.Chidambaram Stadium Chennai, Tamil Nadu",5,JD Cloete,C Shamshuddin
2015_26,2015,Delhi,26-04-2015,DD,RCB,RCB,field,normal,0,RCB,0,10,Varun Aaron,293,"Feroz Shah Kotla Stadium, Delhi",2,M Erasmus,S Ravi
2015_27,2015,Chandigarh,27-04-2015,SRH,KXI,KXI,field,normal,0,SRH,20,0,Trent Boult,565,"I.S. Bindra Punjab Cricket Association Stadium, Mohali",9,HDPK Dharmasena,CB Gaffaney
2015_28,2015,Kolkata,07-05-2015,KKR,DD,KKR,bat,normal,0,KKR,13,0,Piyush Chawla,102,"Eden Garden Stadium, Kolkata, West Bengal",3,AK Chaudhary,M Erasmus
2015_29,2015,Bangalore,29-04-2015,RCB,RR,RR,field,no result,0,,0,0,,,"M.Chinnaswamy Stadium Bengaluru, Karnataka",7,JD Cloete,PG Pathak
2015_30,2015,Chennai,28-04-2015,CSK,KKR,KKR,field,normal,0,CSK,2,0,Dwayne Bravo,114,"M.A.Chidambaram Stadium Chennai, Tamil Nadu",5,RM Deshpande,VA Kulkarni
2015_31,2015,Delhi,01-05-2015,KXI,DD,DD,field,normal,0,DD,0,9,Nathan Coulter-Nile,484,"Feroz Shah Kotla Stadium, Delhi",2,RK Illingworth,S Ravi
2015_32,2015,Mumbai,01-05-2015,MI,RR,RR,field,normal,0,MI,8,0,Ambati Rayudu,309,"Wankhede Stadium, Mumbai, Maharashtra",1,HDPK Dharmasena,CK Nandan
2015_33,2015,Bangalore,02-05-2015,KKR,RCB,RCB,field,normal,0,RCB,0,7,Mandeep Singh,373,"M.Chinnaswamy Stadium Bengaluru, Karnataka",7,JD Cloete,PG Pathak
2015_34,2015,Hyderabad,02-05-2015,SRH,CSK,CSK,field,normal,0,SRH,22,0,David Warner,207,"Rajiv Gandhi International Stadium, Hyderabad",4,AK Chaudhary,K Srinivasan
2015_35,2015,Chandigarh,03-05-2015,MI,KXI,MI,bat,normal,0,MI,23,0,Lendl Simmons,524,"I.S. Bindra Punjab Cricket Association Stadium, Mohali",9,RK Illingworth,VA Kulkarni
2015_36,2015,Mumbai,03-05-2015,RR,DD,DD,field,normal,0,RR,14,0,Ajinkya Rahane,122,Brabourne Stadium,19,HDPK Dharmasena,CB Gaffaney
2015_37,2015,Chennai,04-05-2015,CSK,RCB,CSK,bat,normal,0,CSK,24,0,Suresh Raina,24,"M.A.Chidambaram Stadium Chennai, Tamil Nadu",5,C Shamshuddin,K Srinath
2015_38,2015,Kolkata,04-05-2015,KKR,SRH,SRH,field,normal,0,KKR,35,0,Umesh Yadav,208,"Eden Garden Stadium, Kolkata, West Bengal",3,AK Chaudhary,M Erasmus
